RunGroupID,Model,Initialization,GS_Level,GS_Percentage,TrainingFraction,Top1_Mean,Top1_Std,Top1_CI_Lower,Top1_CI_Upper,Top5_Mean,Top5_Std,F1_Mean,F1_Std,TrueProbTop5_Mean,TrueProbTop5_Std,TrueProbTop5_Median,LPIPS,MutualInfo,Entropy_GS,Entropy_Raw,PSNR,N_Repeats,PerRun_Top1,Top1_GSTrain_RawTest,Top5_GSTrain_RawTest,F1_GSTrain_RawTest,TrueProbTop5Mean_GSTrain_RawTest,TrueProbTop5Median_GSTrain_RawTest,AccuracyDrop_pp,AccuracyDrop_relative,pvalue_vs_raw_paired
OASIS__resnet18_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Pretrained,Raw,0.0,1.0,83.86167146974063,8.958730851231474,72.73793790216912,94.98540503731212,95.44668587896254,3.446586282009832,0.8286782605802779,0.0941518640451812,0.3860316806749282,0.0840491266837844,0.3478820413351059,0.0,1.0,4.5222308042958685,4.5222308042958685,100.0,5,"[89.72142170989433, 72.8146013448607, 90.9702209414025, 75.40826128722382, 90.39385206532181]",,,,,,,,
OASIS__resnet18_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Pretrained,GS 0%,0.0,1.0,80.38424591738712,9.553747571122395,68.52170151039776,92.24679032437648,94.19788664745438,4.297932721978109,0.7905657646868022,0.1011188056745043,0.333094146547304,0.0752491213241033,0.2790475815534591,0.5183670520782471,0.4131943780556248,4.929564311531603,4.5222308042958685,2.5955060826724536,5,"[86.55139289145053, 67.14697406340058, 88.2804995196926, 73.29490874159463, 86.6474543707973]",14.409221902017292,30.45148895292987,0.1105359599569305,0.0243765393148581,0.0,3.477425552353509,4.146620847651779,0.0046830806518779
OASIS__resnet18_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Pretrained,GS 10%,10.0,1.0,72.16138328530259,11.336964002722455,58.08468323419005,86.23808333641513,90.45148895292988,5.781911634539038,0.7013950794642436,0.1143955750804445,0.263311521302261,0.0612339462640523,0.1895943596959114,0.647946834564209,0.2021864987172174,4.91265236256394,4.5222308042958685,3.0686254335246472,5,"[81.17195004803074, 59.5581171950048, 78.6743515850144, 60.03842459173872, 81.3640730067243]",0.5763688760806917,2.0172910662824206,0.0001548818029755,0.0044797125301976,0.0,11.700288184438037,13.951890034364258,0.0008199892779103
OASIS__resnet18_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Pretrained,GS 20%,20.0,1.0,68.4149855907781,11.733743569330406,53.84561863658558,82.98435254497062,88.64553314121038,7.054275242725758,0.6642169837847072,0.1204646520645753,0.2362781500626323,0.0607487280397215,0.1611524507403373,0.6790796518325806,0.1452288173152234,4.778905922622021,4.5222308042958685,3.5823824946469136,5,"[76.84918347742556, 54.947166186359276, 76.84918347742556, 56.195965417867434, 77.23342939481267]",0.3842459173871277,2.2094140249759846,0.0001515758518868,0.0039666097013567,0.0,15.446685878962526,18.419243986254283,0.0002848553876784
OASIS__resnet18_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Pretrained,GS 30%,30.0,1.0,63.65033621517771,11.563264663040938,49.29264678137797,78.00802564897745,85.55235350624399,7.497904610423663,0.6159899866384017,0.11310192962327364,0.19544821479532234,0.04934184051190865,0.11625216901302338,0.7131482362747192,0.11086748791033357,4.825922266036916,4.5222308042958685,4.174637276168044,5,"[72.8146013448607, 50.14409221902017, 70.31700288184439, 51.96926032660903, 73.00672430355426]",0.09606147934678194,1.8251681075888568,5.887322534021365e-06,0.0015387803863637385,0.0,20.21133525456292,24.100801832760595,0.0001104217669179187
OASIS__resnet18_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Pretrained,GS 40%,40.0,1.0,59.13544668587897,9.818639242698302,46.943995826869795,71.32689754488814,82.47838616714698,7.0615315524942766,0.5670198037633196,0.09665291312102939,0.17476125689139313,0.03246996339430616,0.10206090733408928,0.7226715087890625,0.09118232886446917,4.80915976496792,4.5222308042958685,4.86052782394201,5,"[65.51392891450529, 49.183477425552354, 66.18635926993277, 47.64649375600384, 67.14697406340058]",0.8645533141210375,2.49759846301633,0.00018607126316620847,0.00429099716968999,0.0,24.72622478386166,29.484536082474218,6.605226057099211e-06
OASIS__resnet18_Pretrained__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Pretrained,GS 50%,50.0,1.0,52.756964457252636,11.30823559836446,38.715935431557256,66.79799348294802,77.86743515850144,9.078597569872516,0.4988025213376968,0.11441453567797095,0.14332712576075973,0.0333201332489,0.07752292305231094,0.7440341711044312,0.07787255489862609,4.8297914709130785,4.5222308042958685,5.714273982474513,5,"[61.67146974063401, 41.210374639769455, 60.6147934678194, 39.577329490874156, 60.71085494716618]",0.5763688760806917,2.3054755043227666,0.00018564485617121278,0.00348142670122164,0.0,31.104707012487992,37.09049255441008,1.884966466706245e-05
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,Raw,0.0,1.0,71.08549471661864,11.492101001912147,56.81616663882289,85.35482279441439,89.47166186359269,5.699126068507848,0.6822773608076202,0.1230583940254106,0.35767921386796564,0.08361269927499446,0.3296331614255905,0.0,1.0,4.5222308042958685,4.5222308042958685,100.0,5,"[75.98463016330452, 58.98174831892411, 79.63496637848223, 58.501440922190206, 82.32468780019212]",,,,,,,,
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 0%,0.0,1.0,70.70124879923151,11.7114269603551,56.15959157496561,85.2429060234974,88.83765609990394,6.047449704594734,0.6774129072976335,0.12135303501172157,0.36132683025585355,0.09958735031128418,0.3424493372440338,0.5174590349197388,0.41305069975605985,4.941877573176037,4.5222308042958685,2.5958292358470536,5,"[73.77521613832853, 60.6147934678194, 80.97982708933718, 56.29202689721422, 81.84438040345822]",0.2881844380403458,1.440922190201729,1.7936790749399115e-05,0.0025710972463470544,0.0,0.3842459173871333,0.5405405405405483,0.6669467041586509
OASIS__resnet18_Scratch__NR5__E30__LR0.0005__GSit50__B16__Frac100,resnet18,Scratch,GS 10%,10.0,1.0,65.97502401536984,11.358107184094012,51.872071237140744,80.07797679359894,86.76272814601344,6.794066547264057,0.6262059778198107,0.11733205380398884,0.31788525706251913,0.07407161073353871,0.27435265481472015,0.6573413014411926,0.20125782405112483,4.83966103043357,4.5222308042958685,3.0690452912086004,5,"[71.37367915465899, 54.082612872238236, 77.7137367915466, 53.506243996157544, 73.19884726224784]",1.0566762728146013,2.3054755043227666,0.0007548778328136246,0.005898395945084542,0.0,5.110470701248801,7.18918918918919,0.011411577838080488
